date_new,well_ft
2007-11-12-02,1.152
2007-11-12-03,1.142
2007-11-12-04,1.132
2007-11-12-05,1.132
2007-11-12-06,1.122
2007-11-12-07,1.122
2007-11-12-08,1.112
2007-11-12-09,1.112
2007-11-12-10,1.112
2007-11-12-11,1.112
2007-11-12-12,1.102
2007-11-12-13,1.102
2007-11-12-14,1.102
2007-11-12-15,1.092
2007-11-12-16,1.082
2007-11-12-17,1.082
2007-11-12-18,1.082
2007-11-12-19,1.072
2007-11-12-20,1.072
2007-11-12-21,1.072
2007-11-12-22,1.072
2007-11-12-23,1.072
2007-11-13-00,1.072
2007-11-13-01,1.072
2007-11-13-02,1.062
2007-11-13-03,1.062
2007-11-13-04,1.042
2007-11-13-05,1.042
2007-11-13-06,1.042
2007-11-13-07,1.032
2007-11-13-08,1.032
2007-11-13-09,1.032
2007-11-13-10,1.032
2007-11-13-11,1.032
2007-11-13-12,1.032
2007-11-13-13,1.022
2007-11-13-14,1.022
2007-11-13-15,1.022
2007-11-13-16,1.012
2007-11-13-17,1.012
2007-11-13-18,1.012
2007-11-13-19,1.012
2007-11-13-20,1.012
2007-11-13-21,1.002
2007-11-13-22,1.012
2007-11-13-23,1.042
2007-11-14-00,1.072
2007-11-14-01,1.102
2007-11-14-02,1.112
2007-11-14-03,1.132
2007-11-14-04,1.132
2007-11-14-05,1.142
2007-11-14-06,1.142
2007-11-14-07,1.142
2007-11-14-08,1.142
2007-11-14-09,1.152
2007-11-14-10,1.152
2007-11-14-11,1.152
2007-11-14-12,1.152
2007-11-14-13,1.162
2007-11-14-14,1.172
2007-11-14-15,1.192
2007-11-14-16,1.192
2007-11-14-17,1.202
2007-11-14-18,1.212
2007-11-14-19,1.212
2007-11-14-20,1.212
2007-11-14-21,1.212
2007-11-14-22,1.212
2007-11-14-23,1.212
2007-11-15-00,1.212
2007-11-15-01,1.212
2007-11-15-02,1.212
2007-11-15-03,1.202
2007-11-15-04,1.192
2007-11-15-05,1.192
2007-11-15-06,1.182
2007-11-15-07,1.172
2007-11-15-08,1.172
2007-11-15-09,1.182
2007-11-15-10,1.192
2007-11-15-11,1.202
2007-11-15-12,1.202
2007-11-15-13,1.202
2007-11-15-14,1.202
2007-11-15-15,1.202
2007-11-15-16,1.202
2007-11-15-17,1.202
2007-11-15-18,1.202
2007-11-15-19,1.202
2007-11-15-20,1.192
2007-11-15-21,1.182
2007-11-15-22,1.182
2007-11-15-23,1.182
2007-11-16-00,1.172
2007-11-16-01,1.172
2007-11-16-02,1.172
2007-11-16-03,1.162
2007-11-16-04,1.152
2007-11-16-05,1.152
2007-11-16-06,1.142
2007-11-16-07,1.132
2007-11-16-08,1.122
2007-11-16-09,1.122
2007-11-16-10,1.112
2007-11-16-11,1.112
2007-11-16-12,1.112
2007-11-16-13,1.102
2007-11-16-14,1.102
2007-11-16-15,1.092
2007-11-16-16,1.082
2007-11-16-17,1.082
2007-11-16-18,1.072
2007-11-16-19,1.072
2007-11-16-20,1.072
2007-11-16-21,1.062
2007-11-16-22,1.052
2007-11-16-23,1.052
2007-11-17-00,1.052
2007-11-17-01,1.052
2007-11-17-02,1.042
2007-11-17-03,1.042
2007-11-17-04,1.032
2007-11-17-05,1.032
2007-11-17-06,1.022
2007-11-17-07,1.022
2007-11-17-08,1.022
2007-11-17-09,1.012
2007-11-17-10,1.012
2007-11-17-11,1.012
2007-11-17-12,1.012
2007-11-17-13,1.012
2007-11-17-14,1.012
2007-11-17-15,1.002
2007-11-17-16,1.002
2007-11-17-17,1.002
2007-11-17-18,1.002
2007-11-17-19,0.992
2007-11-17-20,0.992
2007-11-17-21,0.992
2007-11-17-22,0.992
2007-11-17-23,0.992
2007-11-18-00,0.982
2007-11-18-01,0.982
2007-11-18-02,0.982
2007-11-18-03,0.982
2007-11-18-04,0.972
2007-11-18-05,0.962
2007-11-18-06,0.962
2007-11-18-07,0.962
2007-11-18-08,0.962
2007-11-18-09,0.962
2007-11-18-10,0.952
2007-11-18-11,0.952
2007-11-18-12,0.952
2007-11-18-13,0.952
2007-11-18-14,0.942
2007-11-18-15,0.942
2007-11-18-16,0.942
